timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1783701895.106328,-30,70,-2,-6756,-20,-15616
1783701895.131895,62,24,-4,-6782,-63,-15548
1783701895.15764,58,-45,9,-6909,-101,-15830
1783701895.183278,10,-95,-4,-6804,-95,-15544
1783701895.20884,-27,-160,-6,-6915,77,-15588
1783701895.234855,-25,-149,-13,-6950,-26,-15564
1783701895.2603772,-19,-77,-23,-7119,-65,-15328
1783701895.285794,3,-73,-14,-6974,-55,-15437
1783701895.311384,41,-64,-5,-7088,-1,-15566
1783701895.337158,36,-63,-4,-7032,-128,-15504
1783701895.362943,71,-53,-10,-7057,-99,-15416
1783701895.3868532,108,-113,-11,-7193,-138,-15358
1783701895.414439,109,-130,1,-7133,-221,-15622
1783701895.440093,90,-111,19,-7315,-249,-15467
1783701895.465847,102,-95,16,-7341,-334,-15307
1783701895.491574,150,-77,75,-7454,-437,-15401
1783701895.517246,84,-105,41,-7379,-254,-15361
1783701895.542998,-8,-113,13,-7492,-388,-15303
1783701895.568651,43,-34,5,-7535,-233,-15317
1783701895.594136,99,20,86,-7350,-508,-15208
1783701895.619927,11,40,12,-7384,-467,-15268
1783701895.645813,-23,38,13,-7456,-341,-15146
1783701895.671484,14,56,3,-7410,-274,-15272
1783701895.697218,49,56,72,-7411,-623,-15446
1783701895.7226481,2,37,21,-7400,-336,-15284
1783701895.748409,-47,12,13,-7388,-442,-15286
1783701895.774386,-74,-32,-20,-7302,-306,-15329
1783701895.8000052,-14,-60,-3,-7247,-311,-15213
1783701895.825773,66,-15,40,-7317,-357,-15454
1783701895.851239,76,42,21,-7421,-490,-15318
1783701895.8769438,59,54,30,-7256,-446,-15350
1783701895.902606,35,51,26,-7314,-366,-15327
1783701895.928205,17,40,26,-7306,-470,-15448
1783701895.953857,-20,18,13,-7429,-422,-15338
1783701895.97958,-22,37,10,-7166,-361,-15384
1783701896.0052018,2,29,6,-7309,-350,-15437
1783701896.0308878,31,48,-3,-7369,-332,-15558
1783701896.056468,20,9,5,-7178,-470,-15524
1783701896.0822458,27,23,8,-7260,-394,-15401
1783701896.107948,74,52,51,-7231,-440,-15453
1783701896.133518,64,20,34,-7103,-305,-15489
1783701896.15924,-5,-40,5,-7167,-373,-15417
1783701896.1849642,-56,-66,5,-7299,-455,-15427
1783701896.2105448,-15,-47,-2,-7320,-391,-15527
1783701896.23598,67,5,-4,-7373,-497,-15230
1783701896.261749,17,-38,11,-7281,-393,-15462
1783701896.2875772,-27,-56,0,-7344,-489,-15350
1783701896.313449,18,-12,-4,-7455,-559,-15359
1783701896.338815,3,1,12,-7307,-605,-15373
1783701896.364415,-66,-12,3,-7318,-477,-15368
1783701896.3902159,-92,-60,-31,-7433,-552,-15367
